Project,Plate_ID,Plate_Row,Plate_Col,Sample,Raw_value
HTS_Cell_Screen_FP,336,12,24,ctrl,6.22523642047679
HTS_Cell_Screen_FP,336,13,1,ctrl,88.6673842419844
HTS_Cell_Screen_FP,336,13,2,TN336-13-02,5.52212191690189
HTS_Cell_Screen_FP,336,13,3,TN336-13-03,8.80937597952512
HTS_Cell_Screen_FP,336,13,4,TN336-13-04,14.5723488461921
HTS_Cell_Screen_FP,336,13,5,TN336-13-05,6.34518914055908
HTS_Cell_Screen_FP,336,13,6,TN336-13-06,7.28351446276204
HTS_Cell_Screen_FP,336,13,7,TN336-13-07,33.1164148013008
HTS_Cell_Screen_FP,336,13,8,TN336-13-08,2.63461100731065
HTS_Cell_Screen_FP,336,13,9,TN336-13-09,8.16065597111917
HTS_Cell_Screen_FP,336,13,10,TN336-13-10,6.09476917091374
HTS_Cell_Screen_FP,336,13,11,TN336-13-11,9.60507208051948
HTS_Cell_Screen_FP,336,13,12,TN336-13-12,3.00133071376351
HTS_Cell_Screen_FP,336,13,13,TN336-13-13,7.02734374769564
HTS_Cell_Screen_FP,336,13,14,TN336-13-14,2.2648382712839
HTS_Cell_Screen_FP,336,13,15,TN336-13-15,15.0509320981673
HTS_Cell_Screen_FP,336,13,16,TN336-13-16,7.99258908184264
HTS_Cell_Screen_FP,336,13,17,TN336-13-17,5.94356381415764
HTS_Cell_Screen_FP,336,13,18,TN336-13-18,5.83600841202248
HTS_Cell_Screen_FP,336,13,19,TN336-13-19,4.18541291088088
HTS_Cell_Screen_FP,336,13,20,TN336-13-20,4.3464343945519
HTS_Cell_Screen_FP,336,13,21,TN336-13-21,3.22504618564667
HTS_Cell_Screen_FP,336,13,22,TN336-13-22,16.145598555425
HTS_Cell_Screen_FP,336,13,23,TN336-13-23,21.5262337936165
HTS_Cell_Screen_FP,336,13,24,ctrl,15.1227242441816
HTS_Cell_Screen_FP,336,14,1,ctrl,84.705218228512
HTS_Cell_Screen_FP,336,14,2,TN336-14-02,16.2943951545762
HTS_Cell_Screen_FP,336,14,3,TN336-14-03,4.57259886687498
HTS_Cell_Screen_FP,336,14,4,TN336-14-04,8.80152436007924
HTS_Cell_Screen_FP,336,14,5,TN336-14-05,1.93619451701995
HTS_Cell_Screen_FP,336,14,6,TN336-14-06,3.63945244675325
HTS_Cell_Screen_FP,336,14,7,TN336-14-07,2.71283642877022
HTS_Cell_Screen_FP,336,14,8,TN336-14-08,9.89633945139517
HTS_Cell_Screen_FP,336,14,9,TN336-14-09,12.79769254665
HTS_Cell_Screen_FP,336,14,10,TN336-14-10,13.7182471031904
HTS_Cell_Screen_FP,336,14,11,TN336-14-11,8.8653421223972
HTS_Cell_Screen_FP,336,14,12,TN336-14-12,18.9514709521376
HTS_Cell_Screen_FP,336,14,13,TN336-14-13,8.95879760271483
HTS_Cell_Screen_FP,336,14,14,TN336-14-14,5.89812390041838
HTS_Cell_Screen_FP,336,14,15,TN336-14-15,3.23243170833058
HTS_Cell_Screen_FP,336,14,16,TN336-14-16,11.1642086582354
HTS_Cell_Screen_FP,336,14,17,TN336-14-17,7.55386466946354
HTS_Cell_Screen_FP,336,14,18,TN336-14-18,9.79518546990309
HTS_Cell_Screen_FP,336,14,19,TN336-14-19,5.59473349459964
HTS_Cell_Screen_FP,336,14,20,TN336-14-20,11.7535072888418
HTS_Cell_Screen_FP,336,14,21,TN336-14-21,11.7298947313991
HTS_Cell_Screen_FP,336,14,22,TN336-14-22,7.15669472608037
HTS_Cell_Screen_FP,336,14,23,TN336-14-23,14.9721749846136
HTS_Cell_Screen_FP,336,14,24,ctrl,14.166820650614
